fid,Site,Nom,Pixel,Groupe,Lat (N),Long (E),ID Point,date_fev,date_avr,date_sep,biomass_fev,biomass_avr,biomass_sep
"16","17",Ibctn/Azol,"2","2",15.38967,5.83103,17_2_2,2023-02-14,2023-05-01,2023-10-19,10.4,5,230
"17","17",Ibctn/Azol,"3","1",15.38972,5.86721,17_3_1,2023-02-14,2023-05-01,2023-10-19,12.6,4.6,316
"18","17",Ibctn/Azol,"3","2",15.38799,5.86292,17_3_2,2023-02-14,2023-05-01,2023-10-19,4.6,8.4,161
"19","17",Ibctn/Azol,"4","1",15.38526,5.86299,17_4_1,2023-02-14,2023-05-01,2023-10-19,10.6,4.4,63
"20","17",Ibctn/Azol,"4","2",15.38713,5.86175,17_4_2,2023-02-14,2023-05-01,2023-10-19,12,11.6,98
"21","17",Ibctn/Azol,"5","1",15.38898,5.8615,17_5_1,2023-02-14,2023-05-01,2023-10-19,16.8,8.6,95
"22","17",Ibctn/Azol,"5","2",15.39331,5.86086,17_5_2,2023-02-14,2023-05-01,2023-10-19,14.2,9.6,110
"23","17",Ibctn/Azol,"6","1",15.39608,5.86055,17_6_1,2023-02-14,2023-05-01,2023-10-19,8.6,8.6,74
"24","17",Ibctn/Azol,"6","2",15.40061,5.85958,17_6_2,2023-02-14,2023-05-01,2023-10-19,23,13,83
"25","24",Abouhaya,"1","1",15.45858,6.53653,24_1_1,2023-02-16,2023-05-02,2023-10-17,5,3.4,35.6
"26","24",Abouhaya,"1","2",15.39621,6.53496,24_1_2,2023-02-16,2023-05-02,2023-10-17,5.2,5.4,34
"27","24",Abouhaya,"2","1",15.3918,6.53371,24_2_1,2023-02-16,2023-05-02,2023-10-17,2.8,1.4,45
"28","24",Abouhaya,"2","2",15.38725,6.53341,24_2_2,2023-02-16,2023-05-02,2023-10-17,7.4,0,45
"29","24",Abouhaya,"3","1",15.38079,6.53347,24_3_1,2023-02-16,2023-05-02,2023-10-17,16,5.8,66
"30","24",Abouhaya,"3","2",15.37854,6.5305,24_3_2,2023-02-16,2023-05-02,2023-10-17,3.8,3,49
"31","24",Abouhaya,"4","1",15.37768,6.52688,24_4_1,2023-02-16,2023-05-02,2023-10-17,8,2.8,49
"32","24",Abouhaya,"4","2",15.37633,6.52235,24_4_2,2023-02-16,2023-05-02,2023-10-17,4,1.6,72
"33","24",Abouhaya,"5","1",15.37448,6.51798,24_5_1,2023-02-16,2023-05-02,2023-10-17,3.4,7.4,44
"34","24",Abouhaya,"5","2",15.37505,6.51454,24_5_2,2023-02-16,2023-05-02,2023-10-17,12.6,2,56
"35","24",Abouhaya,"6","1",15.38865,6.51401,24_6_1,2023-02-16,2023-05-02,2023-10-17,5.2,0,78
"36","24",Abouhaya,"6","2",15.39324,6.51347,24_6_2,2023-02-16,2023-05-02,2023-10-17,4.8,0.6,81
"37","73",Toukounous,"1","1",14.587355,3.342425,73_1_1,2023-02-17,2023-04-18,2023-10-15,6.6,0,28
"38","73",Toukounous,"1","2",14.59184,3.34598,73_1_2,2023-02-17,2023-04-18,2023-10-15,6.8,0,26
"39","73",Toukounous,"2","1",14.59696,3.34785,73_2_1,2023-02-17,2023-04-18,2023-10-15,12.4,0,3
"40","73",Toukounous,"2","2",14.59985,3.34714,73_2_2,2023-02-17,2023-04-18,2023-10-15,7.6,0,14
"41","73",Toukounous,"3","1",14.60433,3.34639,73_3_1,2023-02-17,2023-04-18,2023-10-15,3.4,0,20
"42","73",Toukounous,"3","2",14.60596,3.34454,73_3_2,2023-02-17,2023-04-18,2023-10-15,3,0,10
"43","73",Toukounous,"4","1",14.60469,3.34087,73_4_1,2023-02-17,2023-04-18,2023-10-15,7.2,0,12
"44","73",Toukounous,"4","2",14.60357,3.33626,73_4_2,2023-02-17,2023-04-18,2023-10-15,9.6,0,38
"45","73",Toukounous,"5","1",14.60389,3.32813,73_5_1,2023-02-17,2023-04-18,2023-10-15,10,0,26
"46","73",Toukounous,"5","2",14.60145,3.32451,73_5_2,2023-02-17,2023-04-18,2023-10-15,4.6,0,12
"47","73",Toukounous,"6","1",14.59568,3.33659,73_6_1,2023-02-17,2023-04-18,2023-10-15,7.4,0,11
"48","73",Toukounous,"6","2",14.59568,3.34103,73_6_2,2023-02-17,2023-04-18,2023-10-15,8,0,6
"49","45",Aljanari,"1","1",14.71316,11.10429,45_1_1,,,,,,
"50","45",Aljanari,"1","2",14.71775,11.10272,45_1_2,,,,,,
"51","45",Aljanari,"2","1",14.72284,11.1015,45_2_1,,,,,,
"52","45",Aljanari,"2","2",14.72705,11.1005,45_2_2,,,,,,
"53","45",Aljanari,"3","1",14.73142,11.09953,45_3_1,,,,,,
"54","45",Aljanari,"3","2",14.73408,11.09749,45_3_2,,,,,,
"55","45",Aljanari,"4","1",14.73449,11.09385,45_4_1,,,,,,
"56","45",Aljanari,"4","2",14.73383,11.08973,45_4_2,,,,,,
"57","45",Aljanari,"5","1",14.73494,11.0836,45_5_1,,,,,,
"58","45",Aljanari,"5","2",14.73494,11.0836,45_5_2,,,,,,
"59","45",Aljanari,"6","1",14.73494,11.0836,45_6_1,,,,,,
"60","45",Aljanari,"6","2",14.72787,11.09337,45_6_2,,,,,,
"61","46",Aborak,"1","1",14.92682,10.46213,46_1_1,2023-02-15,2023-04-13,2023-10-12,14,17,8.8
"62","46",Aborak,"1","2",14.93112,10.46529,46_1_2,2023-02-15,2023-04-13,2023-10-12,6.4,14.4,8.6
"63","46",Aborak,"2","1",14.93625,10.45962,46_2_1,2023-02-15,2023-04-13,2023-10-12,12.6,4.8,8.4
"64","46",Aborak,"2","2",14.94059,10.45825,46_2_2,2023-02-15,2023-04-13,2023-10-12,15.6,10.2,9.4
"65","46",Aborak,"3","1",14.94059,10.45825,46_3_1,2023-02-15,2023-04-13,2023-10-12,14,13.6,9.6
"66","46",Aborak,"3","2",14.9473,10.45025,46_3_2,2023-02-15,2023-04-13,2023-10-12,11.8,10.4,11.4
"67","46",Aborak,"4","1",14.94774,10.45366,46_4_1,2023-02-15,2023-04-13,2023-10-12,16.4,4.6,15.6
"68","46",Aborak,"4","2",14.9486,10.4466,46_4_2,2023-02-15,2023-04-13,2023-10-12,7.4,3.8,23
"69","46",Aborak,"5","1",14.94861,10.4466,46_5_1,2023-02-15,2023-04-13,2023-10-12,11,4.8,8.19999999
"70","46",Aborak,"5","2",14.94865,10.4466,46_5_2,2023-02-15,2023-04-13,2023-10-12,6.8,7.6,12.4
"71","46",Aborak,"6","1",14.94861,10.4466,46_6_1,2023-02-15,2023-04-13,2023-10-12,25,8.6,47
"72","46",Aborak,"6","2",14.94861,10.4466,46_6_2,2023-02-15,2023-04-13,2023-10-12,9.8,16.6,14
"73","48",Bathe 1,"1","1",14.89959,7.75267,48_1_1,2023-02-16,2023-04-15,2023-10-17,27.4,45.4,26
"74","48",Bathe 1,"1","2",14.8943,7.74843,48_1_2,2023-02-16,2023-04-15,2023-10-17,42,26,18
"75","48",Bathe 1,"2","1",14.89106,7.74867,48_2_1,2023-02-16,2023-04-15,2023-10-17,40,60,23
"76","48",Bathe 1,"2","2",14.88606,7.74781,48_2_2,2023-02-16,2023-04-15,2023-10-17,35,52,4
"77","48",Bathe 1,"3","1",14.888548,7.74205,48_3_1,2023-02-16,2023-04-15,2023-10-17,28,36,5.6
"78","48",Bathe 1,"3","2",14.88851,7.73738,48_3_2,2023-02-16,2023-04-15,2023-10-17,55,17,26
"79","48",Bathe 1,"4","1",14.88508,7.73358,48_4_1,2023-02-16,2023-04-15,2023-10-17,48,18,6.4
"80","48",Bathe 1,"4","2",14.884,7.72986,48_4_2,2023-02-16,2023-04-15,2023-10-17,39,20,17
"81","48",Bathe 1,"5","1",14.87836,7.73166,48_5_1,2023-02-16,2023-04-15,2023-10-17,38,18,19
"82","48",Bathe 1,"5","2",14.87612,7.73347,48_5_2,2023-02-16,2023-04-15,2023-10-17,35,25,6
"83","48",Bathe 1,"6","1",14.87615,7.73744,48_6_1,2023-02-16,2023-04-15,2023-10-17,29,23,7
"84","48",Bathe 1,"6","2",14.87255,7.73626,48_6_2,2023-02-16,2023-04-15,2023-10-17,29,20,18
"85","118",Kara,"1","1",12.73174,2.82539,118_1_1,2023-02-14,2023-04-16,2023-10-12,23,31,113
"86","118",Kara,"1","2",12.73007,2.82545,118_1_2,2023-02-14,2023-04-16,2023-10-12,16,11,122
"87","118",Kara,"2","1",12.72839,2.8254,118_2_1,2023-02-14,2023-04-16,2023-10-12,35,19,40
"88","118",Kara,"2","2",12.72664,2.82542,118_2_2,2023-02-14,2023-04-16,2023-10-12,14,24,46
"89","118",Kara,"3","1",12.72425,2.82523,118_3_1,2023-02-14,2023-04-16,2023-10-12,25,12,88
"90","118",Kara,"3","2",12.72354,2.82486,118_3_2,2023-02-14,2023-04-16,2023-10-12,18,13,92
"91","118",Kara,"4","1",12.72313,2.82239,118_4_1,2023-02-14,2023-04-16,2023-10-12,8,2,60
"92","118",Kara,"4","2",12.72284,2.82065,118_4_2,2023-02-14,2023-04-16,2023-10-12,0,4,19
"93","118",Kara,"5","1",12.72252,2.8189,118_5_1,2023-02-14,2023-04-16,2023-10-12,3,28,78
"94","118",Kara,"5","2",12.7245,2.81704,118_5_2,2023-02-14,2023-04-16,2023-10-12,12,22,102
"95","118",Kara,"6","1",12.72728,2.81644,118_6_1,2023-02-14,2023-04-16,2023-10-12,16,27,456
"96","118",Kara,"6","2",12.73089,2.81703,118_6_2,2023-02-14,2023-04-16,2023-10-12,16.6666666,27,90
"97","41",Sayam,"1","1",13.77008,12.54799,41_1_1,2023-02-17,2023-04-16,2023-10-14,31,42,31
"98","41",Sayam,"1","2",13.76871,12.5524,41_1_2,2023-02-17,2023-04-16,2023-10-14,13,16,34
"99","41",Sayam,"2","1",13.76686,12.35757,41_2_1,2023-02-17,2023-04-16,2023-10-14,14,17,25
"100","41",Sayam,"2","2",13.76525,12.55435,41_2_2,2023-02-17,2023-04-16,2023-10-14,20,14,32
"101","41",Sayam,"3","1",13.77169,12.55192,41_3_1,2023-02-17,2023-04-16,2023-10-14,21,14,27
"102","41",Sayam,"3","2",13.75825,12.54906,41_3_2,2023-02-17,2023-04-16,2023-10-14,12,16,62
"103","41",Sayam,"4","1",13.75432,12.54686,41_4_1,2023-02-17,2023-04-16,2023-10-14,17,15,27.2
"104","41",Sayam,"4","2",13.75448,12.54537,41_4_2,2023-02-17,2023-04-16,2023-10-14,12,29,38
"105","41",Sayam,"5","1",13.75589,12.54413,41_5_1,2023-02-17,2023-04-16,2023-10-14,15,20,86
"106","41",Sayam,"5","2",13.75909,12.54113,41_5_2,2023-02-17,2023-04-16,2023-10-14,21,25,4
"107","41",Sayam,"6","1",13.76242,12.53921,41_6_1,2023-02-17,2023-04-16,2023-10-14,37,29,7
"108","41",Sayam,"6","2",13.76594,12.53686,41_6_2,2023-02-17,2023-04-16,2023-10-14,27,25,49
"109","42",Bouti Est,"1","1",13.9443,11.43259,42_1_1,2023-02-15,2023-04-17,2023-10-20,7,7,17
"110","42",Bouti Est,"1","2",13.94849,11.43267,42_1_2,2023-02-15,2023-04-17,2023-10-20,8,4,32
"111","42",Bouti Est,"2","1",13.95318,11.43294,42_2_1,2023-02-15,2023-04-17,2023-10-20,8,0,43
"112","42",Bouti Est,"2","2",13.95605,11.43319,42_2_2,2023-02-15,2023-04-17,2023-10-20,9,16,31
"113","42",Bouti Est,"3","1",13.96741,11.43339,42_3_1,2023-02-15,2023-04-17,2023-10-20,20,7,73
"114","42",Bouti Est,"3","2",13.95401,11.43702,42_3_2,2023-02-15,2023-04-17,2023-10-20,16,0,65
"115","42",Bouti Est,"4","1",13.96507,11.43933,42_4_1,2023-02-15,2023-04-17,2023-10-20,20,8,74
"116","42",Bouti Est,"4","2",13.96497,11.4421,42_4_2,2023-02-15,2023-04-17,2023-10-20,30,0,49
"117","42",Bouti Est,"5","1",13.96063,11.44265,42_5_1,2023-02-15,2023-04-17,2023-10-20,37,0,93
"118","42",Bouti Est,"5","2",13.95654,11.44267,42_5_2,2023-02-15,2023-04-17,2023-10-20,13,0,47
"119","42",Bouti Est,"6","1",13.94937,11.44273,42_6_1,2023-02-15,2023-04-17,2023-10-20,10,0,22
"120","42",Bouti Est,"6","2",14.9454,11.44206,42_6_2,2023-02-15,2023-04-17,2023-10-20,17,24,73
"121","115",Djoumaguedi,"1","1",13.8759,11.05747,115_1_1,2023-02-16,2023-04-17,2023-10-21,0,0,51
"122","115",Djoumaguedi,"1","2",13.87867,11.055,115_1_2,2023-02-16,2023-04-17,2023-10-21,0,0,54
"123","115",Djoumaguedi,"2","1",13.8627,11.05314,115_2_1,2023-02-16,2023-04-17,2023-10-21,0,0,28
"124","115",Djoumaguedi,"2","2",13.88604,11.05219,115_2_2,2023-02-16,2023-04-17,2023-10-21,0,0,49
"125","115",Djoumaguedi,"3","1",13.88868,11.05367,115_3_1,2023-02-16,2023-04-17,2023-10-21,0,0,112
"126","115",Djoumaguedi,"3","2",13.89056,11.05785,115_3_2,2023-02-16,2023-04-17,2023-10-21,0,0,54
"127","115",Djoumaguedi,"4","1",13.89096,11.056078,115_4_1,2023-02-16,2023-04-17,2023-10-21,0,0,46
"128","115",Djoumaguedi,"4","2",13.88989,11.056435,115_4_2,2023-02-16,2023-04-17,2023-10-21,0,0,30
"129","115",Djoumaguedi,"5","1",13.886677,11.06612,115_5_1,2023-02-16,2023-04-17,2023-10-21,0,0,49
"130","115",Djoumaguedi,"5","2",13.88371,11.06862,115_5_2,2023-02-16,2023-04-17,2023-10-21,0,0,47
"131","115",Djoumaguedi,"6","1",13.87785,11.07095,115_6_1,2023-02-16,2023-04-17,2023-10-21,0,0,45
"132","115",Djoumaguedi,"6","2",13.87712,11.0708,115_6_2,2023-02-16,2023-04-17,2023-10-21,0,0,26
"133","22",Amoulass,"1","1",15.12362,7.05483,22_1_1,2023-02-16,2023-04-17,2023-10-12,35,27,81
"134","22",Amoulass,"1","2",15.12296,7.05038,22_1_2,2023-02-16,2023-04-17,2023-10-12,34,14,81
"135","22",Amoulass,"2","1",15.12214,7.04693,22_2_1,2023-02-16,2023-04-17,2023-10-12,27,17.6,71
"136","22",Amoulass,"2","2",15.12231,7.04429,22_2_2,2023-02-16,2023-04-17,2023-10-12,24,17,43
"137","22",Amoulass,"3","1",15.12732,7.0399,22_3_1,2023-02-16,2023-04-17,2023-10-12,31,38,69
"138","22",Amoulass,"3","2",15.13147,7.03868,22_3_2,2023-02-16,2023-04-17,2023-10-12,42,48,57
"139","22",Amoulass,"4","1",15.13456,7.03825,22_4_1,2023-02-16,2023-04-17,2023-10-12,46,28,77
"140","22",Amoulass,"4","2",15.13884,7.03762,22_4_2,2023-02-16,2023-04-17,2023-10-12,62,19,86
"141","22",Amoulass,"5","1",15.13881,7.03156,22_5_1,2023-02-16,2023-04-17,2023-10-12,30,25,44
"142","22",Amoulass,"5","2",15.13536,7.03063,22_5_2,2023-02-16,2023-04-17,2023-10-12,26,46,40
"143","22",Amoulass,"6","1",15.13234,7.03163,22_6_1,2023-02-16,2023-04-17,2023-10-12,11,15,44
"144","22",Amoulass,"6","2",15.12817,7.03332,22_6_2,2023-02-16,2023-04-17,2023-10-12,30,19,31
"145","8",Gadabedji centre,"1","1",15.01637,7.17009,8_1_1,2023-02-16,2023-04-17,2023-10-10,25,9,53
"146","8",Gadabedji centre,"1","2",15.02043,7.1689,8_1_2,2023-02-16,2023-04-17,2023-10-10,9,3.6,48
"147","8",Gadabedji centre,"2","1",15.02549,7.16769,8_2_1,2023-02-16,2023-04-17,2023-10-10,10,5,50
"148","8",Gadabedji centre,"2","2",15.02929,7.16548,8_2_2,2023-02-16,2023-04-17,2023-10-10,21,5,63
"149","8",Gadabedji centre,"3","1",15.03322,7.16347,8_3_1,2023-02-16,2023-04-17,2023-10-10,20,23,27
"150","8",Gadabedji centre,"3","2",15.035,7.15991,8_3_2,2023-02-16,2023-04-17,2023-10-10,37,17,44
"151","8",Gadabedji centre,"4","1",15.0338,7.15651,8_4_1,2023-02-16,2023-04-17,2023-10-10,36,17,90
"152","8",Gadabedji centre,"4","2",15.03235,7.15231,8_4_2,2023-02-16,2023-04-17,2023-10-10,36,13.4,79
"153","8",Gadabedji centre,"5","1",15.03117,7.14707,8_5_1,2023-02-16,2023-04-17,2023-10-10,50,17,31
"154","8",Gadabedji centre,"5","2",15.02866,7.1447,8_5_2,2023-02-16,2023-04-17,2023-10-10,26,19.4,56
"155","8",Gadabedji centre,"6","1",15.02167,7.15322,8_6_1,2023-02-16,2023-04-17,2023-10-10,21,4.4,42
"156","8",Gadabedji centre,"6","2",15.02113,7.15762,8_6_2,2023-02-16,2023-04-17,2023-10-10,8,9,66
"157","23",Fako nord Dakoro,"1","1",14.99166,6.68092,23_1_1,2023-02-15,2023-04-18,2023-10-14,25,38,17
"158","23",Fako nord Dakoro,"1","2",14.94552,6.68011,23_1_2,2023-02-15,2023-04-18,2023-10-14,11,4.6,42
"159","23",Fako nord Dakoro,"2","1",14.95062,6.68041,23_2_1,2023-02-15,2023-04-18,2023-10-14,10,4.4,30
"160","23",Fako nord Dakoro,"2","2",14.955,6.68061,23_2_2,2023-02-15,2023-04-18,2023-10-14,10,3.8,52
"161","23",Fako nord Dakoro,"3","1",14.96135,6.67945,23_3_1,2023-02-15,2023-04-18,2023-10-14,2,3.6,37
"162","23",Fako nord Dakoro,"3","2",14.961242,6.67552,23_3_2,2023-02-15,2023-04-18,2023-10-14,9,3.4,30
"163","23",Fako nord Dakoro,"4","1",14.96187,6.67103,23_4_1,2023-02-15,2023-04-18,2023-10-14,7,6.6,38
"164","23",Fako nord Dakoro,"4","2",14.96185,6.66656,23_4_2,2023-02-15,2023-04-18,2023-10-14,7,10,30
"165","23",Fako nord Dakoro,"5","1",14.96216,6.66122,23_5_1,2023-02-15,2023-04-18,2023-10-14,12,8,24
"166","23",Fako nord Dakoro,"5","2",14.95979,6.65871,23_5_2,2023-02-15,2023-04-18,2023-10-14,13,5.4,36
"167","23",Fako nord Dakoro,"6","1",14.95286,6.66707,23_6_1,2023-02-15,2023-04-18,2023-10-14,10,6.4,19
"168","23",Fako nord Dakoro,"6","2",14.95274,6.67156,23_6_2,2023-02-15,2023-04-18,2023-10-14,6,4.4,41
